Time,Bytes Sent,Bytes Received,ID,Type
1533815920,0.0,0.0,0e3785f910624d1485af96722cb4a893-client-test,client
1533815921,0.0,0.0,0e3785f910624d1485af96722cb4a893-client-test,client
1533815922,0.0,0.0,0e3785f910624d1485af96722cb4a893-client-test,client
1533815923,0.0,0.0,0e3785f910624d1485af96722cb4a893-client-test,client
1533815924,0.0,0.0,0e3785f910624d1485af96722cb4a893-client-test,client
1533815925,0.0,0.0,0e3785f910624d1485af96722cb4a893-client-test,client
1533815926,0.05,23.1,0e3785f910624d1485af96722cb4a893-client-test,client
1533815927,0.03,24.09,0e3785f910624d1485af96722cb4a893-client-test,client
1533815928,0.04,34.13,0e3785f910624d1485af96722cb4a893-client-test,client
1533815929,0.03,23.29,0e3785f910624d1485af96722cb4a893-client-test,client
1533815930,0.03,24.54,0e3785f910624d1485af96722cb4a893-client-test,client
1533815931,0.02,20.19,0e3785f910624d1485af96722cb4a893-client-test,client
1533815932,0.04,29.47,0e3785f910624d1485af96722cb4a893-client-test,client
1533815933,0.04,30.22,0e3785f910624d1485af96722cb4a893-client-test,client
1533815934,0.04,27.4,0e3785f910624d1485af96722cb4a893-client-test,client
1533815935,0.04,26.92,0e3785f910624d1485af96722cb4a893-client-test,client
1533815936,0.04,25.07,0e3785f910624d1485af96722cb4a893-client-test,client
1533815937,0.01,7.47,0e3785f910624d1485af96722cb4a893-client-test,client
1533815938,0.02,14.19,0e3785f910624d1485af96722cb4a893-client-test,client
1533815939,0.04,32.42,0e3785f910624d1485af96722cb4a893-client-test,client
1533815940,0.02,14.57,0e3785f910624d1485af96722cb4a893-client-test,client
1533815941,0.04,27.27,0e3785f910624d1485af96722cb4a893-client-test,client
1533815942,0.05,32.78,0e3785f910624d1485af96722cb4a893-client-test,client
1533815943,0.03,27.04,0e3785f910624d1485af96722cb4a893-client-test,client
1533815944,0.09,66.86,0e3785f910624d1485af96722cb4a893-client-test,client
1533815945,0.15,110.26,0e3785f910624d1485af96722cb4a893-client-test,client
1533815946,0.1,70.56,0e3785f910624d1485af96722cb4a893-client-test,client
1533815947,0.03,23.64,0e3785f910624d1485af96722cb4a893-client-test,client
1533815948,0.04,30.4,0e3785f910624d1485af96722cb4a893-client-test,client
1533815949,0.05,34.25,0e3785f910624d1485af96722cb4a893-client-test,client
1533815950,0.04,27.11,0e3785f910624d1485af96722cb4a893-client-test,client
1533815951,0.03,22.99,0e3785f910624d1485af96722cb4a893-client-test,client
1533815952,0.03,21.53,0e3785f910624d1485af96722cb4a893-client-test,client
1533815953,0.03,22.39,0e3785f910624d1485af96722cb4a893-client-test,client
1533815954,0.03,23.04,0e3785f910624d1485af96722cb4a893-client-test,client
1533815955,0.04,25.29,0e3785f910624d1485af96722cb4a893-client-test,client
1533815956,0.03,24.1,0e3785f910624d1485af96722cb4a893-client-test,client
1533815957,0.04,27.53,0e3785f910624d1485af96722cb4a893-client-test,client
1533815958,0.01,10.35,0e3785f910624d1485af96722cb4a893-client-test,client
1533815959,0.03,22.86,0e3785f910624d1485af96722cb4a893-client-test,client
1533815960,0.04,28.14,0e3785f910624d1485af96722cb4a893-client-test,client
1533815961,0.02,19.77,0e3785f910624d1485af96722cb4a893-client-test,client
1533815962,0.03,23.79,0e3785f910624d1485af96722cb4a893-client-test,client
1533815963,0.03,25.3,0e3785f910624d1485af96722cb4a893-client-test,client
1533815964,0.04,26.88,0e3785f910624d1485af96722cb4a893-client-test,client
1533815965,0.03,23.68,0e3785f910624d1485af96722cb4a893-client-test,client
1533815966,0.03,26.85,0e3785f910624d1485af96722cb4a893-client-test,client
1533815967,0.04,29.67,0e3785f910624d1485af96722cb4a893-client-test,client
1533815968,0.03,22.32,0e3785f910624d1485af96722cb4a893-client-test,client
1533815969,0.04,27.51,0e3785f910624d1485af96722cb4a893-client-test,client
1533815970,0.04,31.6,0e3785f910624d1485af96722cb4a893-client-test,client
1533815971,0.04,27.71,0e3785f910624d1485af96722cb4a893-client-test,client
1533815972,0.04,27.17,0e3785f910624d1485af96722cb4a893-client-test,client
1533815973,0.05,31.72,0e3785f910624d1485af96722cb4a893-client-test,client
