Time,Bytes Sent,Bytes Received,ID,Type
1533815907,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815908,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815909,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815910,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815911,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815912,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815913,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815914,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815915,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815916,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815917,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815918,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815919,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815920,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815921,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815922,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815923,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815924,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815925,8.91,0.03,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815926,31.19,0.04,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815927,25.5,0.03,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815928,33.21,0.04,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815929,21.05,0.03,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815930,20.79,0.02,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815931,27.65,0.03,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815932,29.97,0.04,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
